"","CUST_ID","AREA_CODE","MINUTES_CURR_MONTH","MINUTES_PREV_MONTH","MINUTES_3MONTHS_AGO","CUST_MOS","LONGDIST_FLAG","CALLWAITING_FLAG","NUM_LINES","VOICEMAIL_FLAG","MOBILE_PLAN","CONVERGENT_BILLING","GENDER","INCOME","PHONE_PLAN","EDUCATION","TOT_MINUTES_USAGE","CHURNER"
"1",129,45987,60,456,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",914,"yes"
"2",130,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"3",131,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","High School",0,"no"
"4",132,21750,678,1222,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","High School",2498,"yes"
"5",133,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","High School",264,"no"
"6",134,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"7",135,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"8",147,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"9",137,10040,1,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"no"
"10",138,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Bachelors",95,"no"
"11",139,36785,33,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",183,"yes"
"12",140,45987,10,20,50,3,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"13",141,15563,10000,8000,944,26,1,1,3,1,1,"Yes","M","High Income","National","PhD",18944,"yes"
"14",142,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"no"
"15",143,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"16",144,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"17",145,36785,6000,7899,630,36,0,0,2,1,0,"Yes","M","High Income","Euro-Zone","Post Primary",14529,"yes"
"18",146,45987,7800,5000,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",12824,"yes"
"19",153,15563,2,0,4,4,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"20",148,10040,9999,12456,1145,3,1,1,2,1,1,"No","M","Medium Income","Euro-Zone","Bachelors",23600,"yes"
"21",149,21750,5,2,1,23,0,0,1,0,0,"No","M","Medium Income","International","Post Primary",8,"yes"
"22",150,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
"23",151,36785,555,444,678,27,1,1,2,1,0,"No","F","High Income","National","PhD",1677,"no"
"24",152,45987,6000,4563,398,13,0,1,1,1,0,"Yes","M","High Income","International","Masters",10961,"yes"
"25",170,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"26",154,10040,2,0,0,1,0,0,1,1,0,"No","F","Low Income","National","Post Primary",0,"no"
"27",155,21750,12000,8000,598,30,1,1,2,0,1,"Yes","M","Medium Income","International","Post Primary",20598,"yes"
"28",156,55166,110,98,56,15,1,0,1,1,0,"No","M","High Income","Promo_plan","Post Primary",264,"no"
"29",157,36785,97,56,97,8,0,0,1,0,1,"No","M","High Income","National","Post Primary",250,"no"
"30",158,45987,45,23,66,44,0,0,1,0,0,"No","F","High Income","International","PhD",134,"no"
"31",176,15563,2,0,4,11,0,0,1,0,0,"Yes","M","Medium Income","International","Bachelors",6,"no"
"32",160,10040,1,2,0,2,0,0,1,0,0,"Yes","F","Low Income","National","Bachelors",0,"no"
"33",161,21750,5,15,75,6,1,0,1,1,0,"No","F","Medium Income","International","Post Primary",95,"yes"
"34",162,36785,100,90,60,10,1,0,2,1,1,"Yes","M","Medium Income","National","Primary",250,"yes"
"35",163,45987,10,20,50,11,1,0,1,0,0,"No","M","Medium Income","International","PhD",80,"no"
"36",164,15563,1004,800,944,26,1,1,3,1,1,"Yes","M","High Income","International","PhD",2748,"no"
"37",165,10040,565,577,650,14,1,1,1,1,1,"No","M","Low Income","National","Masters",1792,"yes"
"38",166,21750,333,277,144,9,0,1,1,1,1,"Yes","M","Medium Income","International","Masters",754,"yes"
"39",167,55166,550,100,500,17,1,1,1,0,0,"No","M","High Income","Promo_plan","Post Primary",1150,"no"
"40",168,36785,398,144,630,36,0,0,2,1,0,"No","M","High Income","National","Masters",1172,"no"
"41",169,45987,78,54,24,6,1,0,1,0,0,"No","F","Medium Income","International","Bachelors",156,"yes"
"42",193,15563,105,15,99,11,0,0,2,1,0,"No","F","Medium Income","International","Bachelors",219,"no"
"43",171,10040,999,1200,1145,11,1,1,2,1,1,"Yes","M","Medium Income","National","PhD",3344,"yes"
"44",172,21750,5,2,1,23,0,0,1,0,0,"Yes","M","Medium Income","International","Post Primary",8,"yes"
"45",173,55166,344,232,455,11,1,1,2,1,1,"Yes","M","Medium Income","Promo_plan","Post Primary",1031,"no"
